expeID,plate_id,time_hhmmss,time,temperature,well,row,column,signal,value,media_key,bacteria_key,has_media,has_bacteria,is_blank,is_empty
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,E9,E,9,OD630,0.124,M1,B3,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,E10,E,10,OD630,0.078,M1,B4,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,E11,E,11,OD630,0.08,M1,MIX,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,E12,E,12,OD630,0.08,M0,0,True,False,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,F1,F,1,OD630,0.125,M0,0,True,False,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,F2,F,2,OD630,0.142,M2,B1,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,F3,F,3,OD630,0.179,M2,B2,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,F4,F,4,OD630,0.146,M2,B3,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,F5,F,5,OD630,0.115,M2,B4,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,F6,F,6,OD630,0.115,M2,MIX,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,F7,F,7,OD630,0.198,M2,B1,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,F8,F,8,OD630,0.185,M2,B2,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,F9,F,9,OD630,0.162,M2,B3,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,F10,F,10,OD630,0.079,M2,B4,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,F11,F,11,OD630,0.081,M2,MIX,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,F12,F,12,OD630,0.079,M0,0,True,False,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,G1,G,1,OD630,0.127,M0,0,True,False,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,G2,G,2,OD630,0.129,M1,B1,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,G3,G,3,OD630,0.128,M1,B2,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,G4,G,4,OD630,0.131,M1,B3,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,G5,G,5,OD630,0.13,M1,B4,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,G6,G,6,OD630,0.128,M1,MIX,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,G7,G,7,OD630,0.129,M1,B1,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,G8,G,8,OD630,0.131,M1,B2,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,G9,G,9,OD630,0.127,M1,B3,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,G10,G,10,OD630,0.079,M1,B4,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,G11,G,11,OD630,0.079,M1,MIX,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,G12,G,12,OD630,0.079,M0,0,True,False,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,H1,H,1,OD630,0.095,M0,0,True,False,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,H2,H,2,OD630,0.094,M2,B1,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,H3,H,3,OD630,0.095,M2,B2,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,H4,H,4,OD630,0.098,M2,B3,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,H5,H,5,OD630,0.092,M2,B4,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,H6,H,6,OD630,0.092,M2,MIX,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,H7,H,7,OD630,0.094,M2,B1,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,H8,H,8,OD630,0.093,M2,B2,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,H9,H,9,OD630,0.092,M2,B3,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,H10,H,10,OD630,0.08,M2,B4,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,H11,H,11,OD630,0.079,M2,MIX,True,True,False,False
Bactomata_Example,Plate1,0:20:00,0.3333333333333333,29.9,H12,H,12,OD630,0.079,M0,0,True,False,False,False
Bactomata_Example,Plate1,0:40:00,0.6666666666666666,29.9,A1,A,1,OD630,0.119,M0,0,True,False,False,False
Bactomata_Example,Plate1,0:40:00,0.6666666666666666,29.9,A2,A,2,OD630,0.122,M1,B1,True,True,False,False
Bactomata_Example,Plate1,0:40:00,0.6666666666666666,29.9,A3,A,3,OD630,0.12,M1,B2,True,True,False,False
Bactomata_Example,Plate1,0:40:00,0.6666666666666666,29.9,A4,A,4,OD630,0.164,M1,B3,True,True,False,False
Bactomata_Example,Plate1,0:40:00,0.6666666666666666,29.9,A5,A,5,OD630,0.122,M1,B4,True,True,False,False
Bactomata_Example,Plate1,0:40:00,0.6666666666666666,29.9,A6,A,6,OD630,0.122,M1,MIX,True,True,False,False
Bactomata_Example,Plate1,0:40:00,0.6666666666666666,29.9,A7,A,7,OD630,0.123,M1,B1,True,True,False,False
Bactomata_Example,Plate1,0:40:00,0.6666666666666666,29.9,A8,A,8,OD630,0.121,M1,B2,True,True,False,False
Bactomata_Example,Plate1,0:40:00,0.6666666666666666,29.9,A9,A,9,OD630,0.12,M1,B3,True,True,False,False
Bactomata_Example,Plate1,0:40:00,0.6666666666666666,29.9,A10,A,10,OD630,0.121,M1,B4,True,True,False,False
Bactomata_Example,Plate1,0:40:00,0.6666666666666666,29.9,A11,A,11,OD630,0.122,M1,MIX,True,True,False,False
Bactomata_Example,Plate1,0:40:00,0.6666666666666666,29.9,A12,A,12,OD630,0.14,M0,0,True,False,False,False
Bactomata_Example,Plate1,0:40:00,0.6666666666666666,29.9,B1,B,1,OD630,0.127,M0,0,True,False,False,False
Bactomata_Example,Plate1,0:40:00,0.6666666666666666,29.9,B2,B,2,OD630,0.129,M2,B1,True,True,False,False
Bactomata_Example,Plate1,0:40:00,0.6666666666666666,29.9,B3,B,3,OD630,0.13,M2,B2,True,True,False,False
Bactomata_Example,Plate1,0:40:00,0.6666666666666666,29.9,B4,B,4,OD630,0.13,M2,B3,True,True,False,False
Bactomata_Example,Plate1,0:40:00,0.6666666666666666,29.9,B5,B,5,OD630,0.131,M2,B4,True,True,False,False
Bactomata_Example,Plate1,0:40:00,0.6666666666666666,29.9,B6,B,6,OD630,0.131,M2,MIX,True,True,False,False
Bactomata_Example,Plate1,0:40:00,0.6666666666666666,29.9,B7,B,7,OD630,0.13,M2,B1,True,True,False,False
Bactomata_Example,Plate1,0:40:00,0.6666666666666666,29.9,B8,B,8,OD630,0.133,M2,B2,True,True,False,False
Bactomata_Example,Plate1,0:40:00,0.6666666666666666,29.9,B9,B,9,OD630,0.13,M2,B3,True,True,False,False
Bactomata_Example,Plate1,0:40:00,0.6666666666666666,29.9,B10,B,10,OD630,0.117,M2,B4,True,True,False,False
Bactomata_Example,Plate1,0:40:00,0.6666666666666666,29.9,B11,B,11,OD630,0.121,M2,MIX,True,True,False,False
Bactomata_Example,Plate1,0:40:00,0.6666666666666666,29.9,B12,B,12,OD630,0.121,M0,0,True,False,False,False
Bactomata_Example,Plate1,0:40:00,0.6666666666666666,29.9,C1,C,1,OD630,0.108,M0,0,True,False,False,False
Bactomata_Example,Plate1,0:40:00,0.6666666666666666,29.9,C2,C,2,OD630,0.141,M1,B1,True,True,False,False
Bactomata_Example,Plate1,0:40:00,0.6666666666666666,29.9,C3,C,3,OD630,0.11,M1,B2,True,True,False,False
Bactomata_Example,Plate1,0:40:00,0.6666666666666666,29.9,C4,C,4,OD630,0.177,M1,B3,True,True,False,False
Bactomata_Example,Plate1,0:40:00,0.6666666666666666,29.9,C5,C,5,OD630,0.11,M1,B4,True,True,False,False
Bactomata_Example,Plate1,0:40:00,0.6666666666666666,29.9,C6,C,6,OD630,0.136,M1,MIX,True,True,False,False
Bactomata_Example,Plate1,0:40:00,0.6666666666666666,29.9,C7,C,7,OD630,0.162,M1,B1,True,True,False,False
Bactomata_Example,Plate1,0:40:00,0.6666666666666666,29.9,C8,C,8,OD630,0.166,M1,B2,True,True,False,False
Bactomata_Example,Plate1,0:40:00,0.6666666666666666,29.9,C9,C,9,OD630,0.131,M1,B3,True,True,False,False
Bactomata_Example,Plate1,0:40:00,0.6666666666666666,29.9,C10,C,10,OD630,0.121,M1,B4,True,True,False,False
Bactomata_Example,Plate1,0:40:00,0.6666666666666666,29.9,C11,C,11,OD630,0.117,M1,MIX,True,True,False,False
Bactomata_Example,Plate1,0:40:00,0.6666666666666666,29.9,C12,C,12,OD630,0.116,M0,0,True,False,False,False
